Date,Location,Classification,Count
04/11/2021,Bronx,Cases,179
04/12/2021,Bronx,Cases,404
04/13/2021,Bronx,Cases,385
04/14/2021,Bronx,Cases,349
04/15/2021,Bronx,Cases,354
04/16/2021,Bronx,Cases,259
04/17/2021,Bronx,Cases,209
04/18/2021,Bronx,Cases,164
04/19/2021,Bronx,Cases,287
04/20/2021,Bronx,Cases,286
04/21/2021,Bronx,Cases,209
04/22/2021,Bronx,Cases,226
04/23/2021,Bronx,Cases,217
04/24/2021,Bronx,Cases,125
04/25/2021,Bronx,Cases,95
04/26/2021,Bronx,Cases,226
04/27/2021,Bronx,Cases,204
04/28/2021,Bronx,Cases,190
04/29/2021,Bronx,Cases,154
04/30/2021,Bronx,Cases,171
05/01/2021,Bronx,Cases,86
05/02/2021,Bronx,Cases,73
05/03/2021,Bronx,Cases,151
05/04/2021,Bronx,Cases,156
05/05/2021,Bronx,Cases,141
05/06/2021,Bronx,Cases,133
05/07/2021,Bronx,Cases,137
05/08/2021,Bronx,Cases,61
05/09/2021,Bronx,Cases,53
05/10/2021,Bronx,Cases,130
05/11/2021,Bronx,Cases,90
05/12/2021,Bronx,Cases,109
05/13/2021,Bronx,Cases,93
05/14/2021,Bronx,Cases,77
05/15/2021,Bronx,Cases,46
05/16/2021,Bronx,Cases,48
05/17/2021,Bronx,Cases,79
05/18/2021,Bronx,Cases,71
05/19/2021,Bronx,Cases,74
05/20/2021,Bronx,Cases,67
05/21/2021,Bronx,Cases,54
05/22/2021,Bronx,Cases,35
05/23/2021,Bronx,Cases,29
05/24/2021,Bronx,Cases,57
05/25/2021,Bronx,Cases,48
05/26/2021,Bronx,Cases,44
05/27/2021,Bronx,Cases,56
05/28/2021,Bronx,Cases,36
05/29/2021,Bronx,Cases,22
05/30/2021,Bronx,Cases,25
05/31/2021,Bronx,Cases,15
06/01/2021,Bronx,Cases,72
06/02/2021,Bronx,Cases,52
06/03/2021,Bronx,Cases,45
06/04/2021,Bronx,Cases,57
06/05/2021,Bronx,Cases,41
06/06/2021,Bronx,Cases,24
06/07/2021,Bronx,Cases,57
06/08/2021,Bronx,Cases,38
06/09/2021,Bronx,Cases,56
06/10/2021,Bronx,Cases,33
06/11/2021,Bronx,Cases,40
06/12/2021,Bronx,Cases,25
06/13/2021,Bronx,Cases,18
06/14/2021,Bronx,Cases,38
06/15/2021,Bronx,Cases,30
06/16/2021,Bronx,Cases,29
06/17/2021,Bronx,Cases,36
06/18/2021,Bronx,Cases,19
06/19/2021,Bronx,Cases,18
06/20/2021,Bronx,Cases,15
06/21/2021,Bronx,Cases,27
06/22/2021,Bronx,Cases,22
06/23/2021,Bronx,Cases,27
06/24/2021,Bronx,Cases,18
06/25/2021,Bronx,Cases,12
06/26/2021,Bronx,Cases,11
06/27/2021,Bronx,Cases,17
